Win,Loss,Team,Data,,
31,26,HAR,"[9, 27, 1877]",,
23,31,CHC,"[9, 27, 1877]",,
26,29,STL,"[9, 28, 1877]",,
32,24,LOU,"[9, 29, 1877]",,
31,27,HAR,"[9, 29, 1877]",,
26,30,STL,"[9, 29, 1877]",,
23,32,CHC,"[9, 29, 1877]",,
15,38,CIN,"[9, 29, 1877]",,
33,24,LOU,"[10, 1, 1877]",,
26,31,STL,"[10, 1, 1877]",,
24,32,CHC,"[10, 1, 1877]",,
15,39,CIN,"[10, 1, 1877]",,
34,24,LOU,"[10, 2, 1877]",,
26,32,STL,"[10, 2, 1877]",,
15,40,CIN,"[10, 2, 1877]",,
27,32,STL,"[10, 5, 1877]",,
